AIRCRAFT_ID,PRICE,START_OF_SERVICE,END_OF_SERVICE,TOTAL_FLIGHTS,Date Completed,Manufacturer,Model,Physical Class (Engine Type),# Engines,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Configuration,ICAO/FAA Code,ATCT Weight Class
140,242,3/25/1990,26/9/2012,764,,"Aviat Aircraft, Inc.",Pitts,,,,,,,,,,,,,,tbd,tbd
141,1032,10/20/1972,5/6/2012,739,,BAC,1-11 200,,,129,88.5,,,24.5,,,,"79,000",,,BA11,tbd
142,436,7/20/1967,20/5/2017,916,,BAC,1-11 400,,,137,88.5,,,24.5,,,,"88,500",,,BA11,tbd
143,844,6/13/1976,8/5/2014,659,,BAC,1-11 475,,,135,93.5,,,24.5,,,,"98,500",,,tbd,tbd
144,530,1/27/1968,18/6/2015,951,,Beech,T-34B Mentor,Piston,1,,,,,,,,,,,,T34P,Small Eqpt
145,746,4/10/1987,13/7/2014,611,,Beech,T-34C Mentor,Turboprop,1,,,,,,,,,,,,,
146,488,8/1/1983,5/9/2014,554,,Beechcraft,24,,,70,38.67,,,8.2,,,,"2,750",,,BE24,tbd
147,895,2/23/1971,12/10/2017,947,,Beechcraft,1900,,,113,58,,,15.5,23.79,23.79,17.17,"17,120",,,B190,tbd
148,734,6/13/1965,19/3/2014,894,,Beechcraft,1900 Airliner C-12J,Turboprop,2,113,54.5,,,14.9,,,,"16,600",,,B190,Medium Commuter Eqpt
149,309,9/4/1963,15/5/2012,522,28-Jul,Beechcraft,60 Duke (B60),Piston,2,98,39.25,no winglets,33.83,12.33,tbd,tbd,tbd,"6,775","6,775",S,BE60,Small Eqpt
150,294,2/15/1990,22/1/2011,608,28-Jul,Beechcraft,60 Duke (Original 60 and the A60),Piston,2,98,39.25,no winglets,33.83,12.33,tbd,tbd,tbd,"6,725","6,725",S,BE60,Small Eqpt
151,448,10/11/1974,21/2/2012,874,,Beechcraft,76 Duchess,,,76,38,,,9.5,,,,"3,900",,,BE76,tbd
152,603,12/24/1969,11/7/2010,504,,Beechcraft,95 Travel Air D95A,Piston,2,79,37.83,no winglets,25.92,9.5,tbd,tbd,tbd,"4,200",,S,BE95,Small Eqpt
153,384,3/18/1974,5/2/2011,615,,Beechcraft,99 Airliner,Turboprop,2,107,45.92,,,14.33,,,,"11,300",,,BE99,Medium Commuter Eqpt
154,895,3/18/1979,6/9/2015,759,7-Jul,Beechcraft,Baron 55,Piston,2,88,37.83,no winglets,28,9.58,7,7,9.58,"5,300","5,300",S,BE55,Small Eqpt
155,522,11/25/1972,21/4/2014,662,7-Jul,Beechcraft,Baron 56 TC Turbo Baron,Piston,2,91,37.83,no winglets,28,9.58,7,7,9.58,"5,990","5,990",S,BE56,Small Eqpt
156,505,6/28/1984,23/4/2015,932,28-Jul,Beechcraft,Baron 58 (and current G58),Piston,2,96,37.83,no winglets,29.83,9.75,8,8,9.58,"5,500","5,524",S,BE58,Small Eqpt
157,668,6/16/1987,31/12/2010,892,,Beechcraft,Beechjet 400/T-1 (formerly Mitsubishi MU-300 Diamond),Jet,2,121,43.5,no winglets,48.42,13.92,tbd,tbd,tbd,"15,780","15,850",S,BE40,Medium Commuter Eqpt
158,205,3/1/1964,24/6/2011,520,1-Jul,Beechcraft,Bonanza 33 (F33A),Piston,1,69,33.5,no winglets,26.67,8.25,< 10,< 10,9.58,"3,500","3,500",S,BE33,Small Eqpt
159,429,9/24/1988,7/11/2012,649,28-Jul,Beechcraft,Bonanza 35 (G35),Piston,1,72,32.83,no winglets,25.17,7.58,< 10,< 10,9.63,"3,125","3,125",S,BE35,Small Eqpt
160,951,7/21/1985,24/5/2017,833,28-Jul,Beechcraft,Bonanza 35 (P35),Piston,1,72,33.5,no winglets,25.08,7.58,< 10,< 10,9.63,"3,125","3,125",S,BE35,Small Eqpt
161,864,2/9/1962,6/7/2015,560,28-Jul,Beechcraft,Bonanza 35 (V35TC) rare as only 7 built,Piston,1,72,33.5,no winglets,26.42,7.58,< 10,< 10,9.63,"3,400","3,400",S,BE35,Small Eqpt
162,1081,2/23/1990,26/1/2017,874,1-Jul,Beechcraft,Bonanza 36 (G36),Piston,1,77,33.5,no winglets,27.5,8.58,< 10,< 10,9.63,"3,650","3,663",S,BE36,Small Eqpt
163,199,5/27/1966,30/5/2012,686,,Beechcraft,"Bonanza A36TC ""Turbo Bonanza""",Piston,1,,,,,,,,,,,,B36T,Small Eqpt
164,297,9/27/1976,1/2/2011,628,28-Jul,Beechcraft,King Air 100 (B100),Turboprop,2,111,45.92,no winglets,39.92,15.42,13.9,13.9,13.7,"11,800","11,800",D,BE10,Small Eqpt
165,348,3/24/1974,15/4/2011,907,7-Feb,Beechcraft,"King Air 200 (200, 200C, A200C, B200, B200C)",Turboprop,2,98,54.5,,43.75,15,15,15,17.17,"12,500","12,590",D,BE20,Small Eqpt
166,246,1/14/1988,24/11/2013,714,19-Sep,Beechcraft,King Air 250,Turboprop,2,104,57.92,winglets,43.83,14.83,14.92,14.92,17.17,"12,500","12,590",D,tbd,tbd
167,299,12/23/1962,27/3/2013,869,19-Sep,Beechcraft,King Air 300 (A200CT RC-12G),Turboprop,2,107,57.92,no winglets,46.67,14.33,16.25,16.25,17.17,"14,000","12,600",D,BE30,Small Eqpt
168,323,9/26/1974,24/1/2012,525,19-Sep,Beechcraft,King Air 300LW (A200CT RC-12H),Turboprop,2,107,57.92,no winglets,46.67,14.33,16.25,16.25,17.17,"12,500","14,100",D,BE30,Small Eqpt
169,377,9/19/1986,22/10/2017,903,19-Sep,Beechcraft,King Air 350ER,Turboprop,2,107,57.92,winglets,46.67,14.33,16.25,16.25,17.17,"16,500","16,600",D,B350,Small Eqpt
170,547,7/16/1976,22/11/2014,902,19-Sep,Beechcraft,King Air 350i,Turboprop,2,107,57.92,winglets,46.67,14.33,16.25,16.25,17.17,"15,000","15,100",D,B350,Small Eqpt
171,320,5/29/1967,9/6/2010,915,28-Jul,Beechcraft,King Air 90 (A90),Turboprop,2,100,45.92,no winglets,35.5,14.67,12.3,12.3,13.7,"9,300","9,300",S,"BE90, BE9L",Small Eqpt
172,645,11/12/1967,3/8/2017,591,28-Jul,Beechcraft,King Air 90 (C90B),Turboprop,2,100,50.25,no winglets,35.5,14.25,12.3,12.3,15,"10,100","10,100",S,"BE90, BE9L",Small Eqpt
173,514,1/27/1974,27/11/2013,596,28-Jul,Beechcraft,King Air 90 (F90),Turboprop,2,108,54.5,no winglets,35.5,14.83,12.3,12.3,16.3,"10,950","10,950",S,BE9T,Small Eqpt
174,175,3/16/1974,22/5/2010,806,19-Sep,Beechcraft,"King Air B200 (A200CT C-12D/F, FWC-12D, and RC-12D/G/H)",Turboprop,2,107,57.92,no winglets,46.67,14.33,16.25,16.25,17.17,"12,500","12,590",D,BE20,Small Eqpt
175,638,8/21/1976,23/2/2013,906,,Beechcraft,King Air B300 (A200CT RC-12K),Turboprop,2,,,,,,,,,"16,500","16,620",D,tbd,
176,908,10/12/1962,4/6/2016,577,,Beechcraft,King Air B300 (A200CT RC-12P),Turboprop,2,,,,,,,,,,,D,tbd,
177,315,9/16/1975,24/5/2011,624,19-Sep,Beechcraft,King Air C90GTi,Turboprop,2,98,53.67,winglets,35.5,14.25,12.25,12.25,12.75,"10,485","10,545",S,tbd,tbd
178,268,1/7/1974,29/10/2017,804,21-Nov,Beechcraft,King Air C90GTx,Turboprop,2,98,50.25,no winglets,35.5,14.25,12.25,12.25,12.75,"10,100","10,160",S,tbd,tbd
179,1009,1/23/1990,15/12/2011,642,24-Aug,Beechcraft,King Air C90GTx,Turboprop,2,98,53.67,winglets,35.5,14.25,12.25,12.25,12.75,"10,485","10,545",S,BE9L,
180,843,5/14/1973,27/1/2012,962,28-Jul,Beechcraft,Model 18 (H18 Super Twin Beech),Piston,2,87,49.67,no winglets,35.25,9.33,tbd,tbd,tbd,"9,900","11,500",S,BE18,Small Eqpt
181,438,4/11/1983,20/2/2014,504,28-Jul,Beechcraft,Model 18 Turboliner (aka Turbo 18),Turboprop,2,87,46,no winglets,44.25,9.58,tbd,tbd,tbd,"11,500","11,500",S,BE18,Small Eqpt
182,107,10/26/1981,30/3/2013,794,,Beechcraft,Model 19 Musketeer Sport (or B19 Sport),,,,,,,,tbd,tbd,tbd,,,,tbd,Small Eqpt
183,273,9/29/1978,9/6/2017,766,,Beechcraft,"Model 23 Musketeer, Custom and Sundowner",Piston,1,,,,,,tbd,tbd,tbd,,,,BE23,Small Eqpt
184,424,10/15/1987,18/12/2015,634,,Beechcraft,Model 23-24 Mukseteer Super III,Piston,1,,,,,,tbd,tbd,tbd,,,,tbd,Small Eqpt
185,815,8/29/1985,27/5/2015,519,,Beechcraft,Model 24R Sierra (retractable gear),Piston,1,,,,,,tbd,tbd,tbd,,,,BE24,Small Eqpt
186,155,3/7/1965,16/12/2011,616,28-Jul,Beechcraft,Queen Air 65,Piston,,87,45.88,no winglets,35.5,14.25,tbd,tbd,tbd,"7,700","7,700",S,tbd,tbd
187,342,4/16/1964,6/6/2016,628,28-Jul,Beechcraft,Queen Air 70,Piston,,87,50.25,no winglets,35.5,14.25,tbd,tbd,tbd,"8,200","8,200",S,tbd,tbd
188,235,3/29/1972,23/6/2011,753,28-Jul,Beechcraft,Queen Air 80,Piston,,87,45.88,no winglets,35.5,14.25,tbd,tbd,tbd,"8,000","8,000",S,tbd,tbd
189,799,8/5/1977,9/11/2011,679,28-Jul,Beechcraft,Queen Air 88,Piston,,87,50.25,no winglets,35.5,14.25,tbd,tbd,tbd,"8,800","8,800",S,tbd,tbd
190,282,12/14/1975,2/6/2014,885,28-Jul,Beechcraft,Queen Air A65,Piston,,87,45.88,no winglets,35.5,14.25,tbd,tbd,tbd,"8,200","8,200",S,tbd,tbd
191,926,1/14/1986,24/9/2016,807,28-Jul,Beechcraft,Queen Air A80,Piston,,87,50.25,no winglets,35.5,14.25,tbd,tbd,tbd,"8,500","8,500",S,tbd,tbd
192,1083,10/24/1990,22/10/2014,652,28-Jul,Beechcraft,Queen Air B80,Piston,,87,50.25,no winglets,35.5,14.25,tbd,tbd,tbd,"8,800","8,800",S,tbd,tbd
193,392,2/24/1988,20/10/2017,736,,Beechcraft,"Raytheon Premier 1A, 390 Premier 1",Jet,2,108,44.5,,,15.33,tbd,tbd,tbd,"12,500",,,PRM1,Medium Commuter Eqpt
194,419,4/1/1970,25/2/2012,617,,Beechcraft,Skipper 77,Piston,1,63,30,,,7.92,tbd,tbd,tbd,"1,675",,,BE77,Small Eqpt
195,307,11/9/1980,5/1/2016,681,17-Jun,Boeing,707-320B/C,Jet,4,128,145.75,no winglets,152.92,42.08,59,68.42,24.98,"333,600","336,000",2D,B703,tbd
196,852,6/6/1969,15/6/2012,774,16-Jun,Boeing,717-200,Jet,2,139,93.33,no winglets,124,29.67,57.75,57.75,19.43,"118,000","119,000",D,B712,tbd
197,632,5/14/1973,21/8/2010,777,16-Jun,Boeing,717-200 HGW Option,Jet,2,139,93.33,no winglets,124,29.67,57.75,57.75,19.43,"121,000","122,000",D,B712,tbd
198,126,8/13/1983,11/7/2012,921,17-Jun,Boeing,720B,Jet,4,137,130.83,no winglets,136.75,41.42,50.67,60.08,24.58,"234,300","235,000",2D,B720,tbd
199,593,11/23/1983,21/1/2013,614,17-Jun,Boeing,727-100 and -100C Basic,Jet,2,124,108,no winglets,133.17,34.25,53.25,60.17,21.58,"160,000","161,000",D,B721,tbd
200,667,4/11/1986,11/3/2015,761,17-Jun,Boeing,727-100 and -100C Option,Jet,2,124,108,no winglets,133.17,34.25,53.25,60.17,21.58,"169,000","170,000",D,B721,tbd
201,573,3/22/1973,20/7/2016,985,17-Jun,Boeing,727-200 Basic,Jet,2,133,108,no winglets,153.17,34.92,63.25,70.17,21.58,"184,800","185,800",D,B722,Large Jet Eqpt
202,845,1/17/1977,5/1/2013,518,1-Jul,Boeing,727-200 Basic with winglets,Jet,2,133,109.25,winglets,153.17,34.92,63.25,70.17,21.58,"184,800","185,800",D,B722,Large Jet Eqpt
203,513,11/29/1978,22/3/2015,510,17-Jun,Boeing,727-200 Option,Jet,2,133,108,no winglets,153.17,34.92,63.25,70.17,21.58,"209,500","210,000",D,B722,Large Jet Eqpt
204,921,5/21/1979,2/1/2016,929,1-Jul,Boeing,727-200 Option with winglets,Jet,2,133,109.25,winglets,153.17,34.92,63.25,70.17,21.58,"209,500","210,000",D,B722,Large Jet Eqpt
205,943,5/3/1961,27/8/2010,695,17-Jun,Boeing,737-100,Jet,2,136,93,no winglets,94,36.83,34.33,39.58,20.88,"110,000","111,000",D,B731,Large Jet Eqpt
206,717,3/12/1990,17/2/2013,650,17-Jun,Boeing,737-200,Jet,2,129,93,no winglets,100.17,36.83,37.33,42.58,20.88,"115,500","116,000",D,B732,Large Jet Eqpt
207,772,6/30/1988,11/5/2014,642,17-Jun,Boeing,"737-200, -200C, -200QC, and Advanced 737-200",Jet,2,129,93,no winglets,100.17,36.83,37.33,42.58,20.88,"128,100","128,600",D,B732,Large Jet Eqpt
208,900,1/26/1972,24/11/2012,627,17-Jun,Boeing,737-300,Jet,2,135,94.75,no winglets,109.58,36.33,40.83,46.08,20.92,"139,500","140,000",D,B733,Large Jet Eqpt
209,785,1/10/1984,24/7/2013,900,17-Jun,Boeing,737-300 with winglets,Jet,2,135,102.08,winglets,109.58,36.5,40.83,46.08,20.92,"139,500","140,000",D,B733,Large Jet Eqpt
210,666,9/23/1979,2/4/2010,825,17-Jun,Boeing,737-400,Jet,2,139,94.75,no winglets,119.58,36.33,46.83,52.08,20.92,"150,000","150,500",D,B734,Large Jet Eqpt
211,963,10/19/1986,24/10/2016,692,17-Jun,Boeing,737-500,Jet,2,128,94.75,no winglets,101.75,36.33,36.33,41.58,20.92,"136,000","136,500",D,B735,Large Jet Eqpt
212,172,12/22/1969,29/1/2012,909,17-Jun,Boeing,737-600,Jet,2,125,112.58,no winglets,102.5,41.67,36.83,42.08,22.92,"144,500","145,000",D,B736,Large Jet Eqpt
213,270,7/15/1967,27/11/2015,603,17-Jun,Boeing,737-600 with winglets,Jet,2,125,117.42,winglets,102.5,41.25,36.83,42.08,22.92,"144,500","145,000",D,B736,Large Jet Eqpt
214,867,6/29/1976,25/7/2016,609,17-Jun,Boeing,737-700 with winglets,Jet,2,130,117.42,winglets,110.33,41.58,41.33,46.58,22.92,"154,500","155,000",D,B737,Large Jet Eqpt
215,938,1/16/1976,26/8/2017,601,17-Jun,Boeing,"737-700, -700C",Jet,2,130,112.58,no winglets,110.33,41.58,41.33,46.58,22.92,"154,500","155,000",D,B737,Large Jet Eqpt
216,299,10/17/1988,11/2/2012,968,17-Jun,Boeing,737-800,Jet,2,142,112.58,no winglets,129.5,41.42,51.17,56.42,22.96,"174,200","174,900",D,B738,Large Jet Eqpt
217,99,11/9/1965,19/4/2010,766,1-Jul,Boeing,737-800 with upper and lower winglets,Jet,2,142,117.83,winglets (up+low),129.5,41.42,51.17,56.42,22.96,"174,200","174,900",D,B738,Large Jet Eqpt
218,1015,11/23/1964,10/7/2013,974,17-Jun,Boeing,737-800 with winglets,Jet,2,142,117.42,winglets,129.5,41.42,51.17,56.42,22.96,"174,200","174,900",D,B738,Large Jet Eqpt
219,445,11/8/1964,18/6/2012,987,17-Jun,Boeing,737-900,Jet,2,141,112.58,no winglets,138.17,41.42,56.33,61.58,22.96,"174,200","174,700",D,B739,Large Jet Eqpt
220,591,12/25/1988,20/7/2017,539,1-Jul,Boeing,737-900 with upper and lower winglets,Jet,2,141,117.83,winglets (up+low),138.17,41.42,56.33,61.58,22.96,"174,200","174,700",D,B739,Large Jet Eqpt
221,1094,12/11/1986,11/10/2010,850,17-Jun,Boeing,737-900 with winglets,Jet,2,141,117.42,winglets,138.17,41.42,56.33,61.58,22.96,"174,200","174,700",D,B739,Large Jet Eqpt
222,123,6/20/1968,17/4/2011,556,17-Jun,Boeing,737-900ER,Jet,2,141,112.58,no winglets,138.17,41.42,56.33,61.58,22.96,"187,700","188,200",D,B739,Large Jet Eqpt
223,692,2/24/1985,23/1/2012,874,17-Jun,Boeing,737-900ER with winglets,Jet,2,140,117.42,winglets,138.17,41.42,56.33,61.58,22.96,"187,700","188,200",D,B739,Large Jet Eqpt
224,347,2/5/1964,22/6/2014,991,17-Jun,Boeing,737-BB2,Jet,2,142,117.42,winglets,129.5,41.42,51.17,56.42,22.96,"174,200","174,700",D,maybe B738,Large Jet Eqpt
225,974,4/12/1965,3/4/2012,576,17-Jun,Boeing,737-BBJ,Jet,2,132,117.42,winglets,110.33,41.58,41.33,46.58,22.96,"171,000","171,500",D,maybe B737,Large Jet Eqpt
226,979,7/1/1971,13/9/2012,577,24-Jun,Boeing,"747-100, -100B",Jet,4,144,195.67,no winglets,231.83,64.25,84,91.67,40.7,"750,000","753,000",2D/2D2,B741,tbd
227,111,12/24/1978,17/5/2014,791,24-Jun,Boeing,747-100B SR,Jet,4,144,195.67,no winglets,231.83,64.25,84,91.67,40.7,"600,000","603,000",2D/2D2,B741,tbd
228,752,11/21/1983,7/5/2017,799,24-Jun,Boeing,747-100SF (Swingtail Freighter),Jet,4,144,195.67,no winglets,231.83,64.25,84,91.67,40.7,"735,000","738,000",2D/2D2,B741,tbd
229,949,7/11/1976,2/10/2013,889,24-Jun,Boeing,"747-200B, -200B COMBI",Jet,4,150,195.67,no winglets,231.83,64.25,84,91.67,40.7,"833,000","836,000",2D/2D2,B742,tbd
230,962,5/7/1973,3/6/2015,762,24-Jun,Boeing,"747-200C, 200F",Jet,4,150,195.67,no winglets,231.83,64.67,84,91.67,41.2,"833,000","836,000",2D/2D2,B742,tbd
231,1028,3/28/1973,28/11/2010,550,24-Jun,Boeing,"747-300, -300 COMBI",Jet,4,142,195.67,no winglets,231.83,64.25,84,91.67,40.7,"833,000","836,000",2D/2D2,B743,tbd
232,333,10/21/1976,4/11/2010,885,24-Jun,Boeing,747-300SR,Jet,4,142,195.67,no winglets,231.83,64.25,84,91.67,40.7,"600,000","603,000",2D/2D2,B743,tbd
233,758,11/7/1974,22/7/2017,839,24-Jun,Boeing,747-400 DOMESTIC,Jet,4,157,195.67,winglets,231.85,64.25,84,91.67,41.33,"610,000","613,500",2D/2D2,B744,tbd
234,662,2/11/1979,20/10/2010,909,24-Jun,Boeing,"747-400, 400 COMBI",Jet,4,157,213,winglets,231.85,64,84,91.67,41.33,"875,000","877,000",2D/2D2,B744,tbd
235,824,5/2/1975,3/3/2010,806,24-Jun,Boeing,747-400ER,Jet,4,157,213,winglets,231.85,64.25,84,91.67,41.42,"910,000","913,000",2D/2D2,B744,tbd
236,133,8/26/1967,14/6/2011,812,24-Jun,Boeing,747-400ER F,Jet,4,157,213,winglets,231.85,64.08,84,91.67,41.42,"910,000","913,000",2D/2D2,B744,tbd
237,298,9/18/1970,28/2/2016,681,24-Jun,Boeing,747-400F,Jet,4,158,213,winglets,231.85,64.08,84,91.67,41.33,"875,000","877,000",2D/2D2,B744,tbd
238,468,2/15/1986,8/6/2012,571,24-Jun,Boeing,747-8,Jet,4,150,224.42,no winglets,250.17,64,97.33,89.67,41.75,"987,000","990,000",2D/2D2,tbd,tbd
239,563,7/7/1984,26/6/2013,902,24-Jun,Boeing,747-8F,Jet,4,159,224.42,no winglets,250.17,64.17,97.33,89.67,41.75,"987,000","990,000",2D/2D2,tbd,tbd
240,1001,10/3/1978,10/6/2017,756,24-Jun,Boeing,747-SP,Jet,4,140,195.67,no winglets,184.75,65.83,67.33,75,41.1,"696,000","703,000",2D/2D2,B744,tbd
241,969,5/6/1980,3/8/2016,586,18-Mar,Boeing,"757-200, -200PF",Jet,2,137,124.83,no winglets,155.25,45.08,60,72,28,"255,500","256,000",2D,B752,B757 Eqpt
242,927,6/14/1986,9/7/2011,557,18-Mar,Boeing,"757-200, -200PF with winglets",Jet,2,137,134.75,winglets,155.25,45.08,60,72,28,"255,500","256,000",2D,B752,B757 Eqpt
243,275,4/14/1985,17/9/2010,921,18-Mar,Boeing,757-300,Jet,2,143,124.83,no winglets,178.58,44.75,73.33,85.33,28,"270,000","271,000",2D,B753,B757 Eqpt
244,918,5/15/1987,4/9/2011,754,18-Mar,Boeing,757-300 with winglets,Jet,2,143,134.75,winglets,178.58,44.75,73.33,85.33,28,"270,000","271,000",2D,B753,B757 Eqpt
245,522,5/8/1963,23/4/2016,901,22-Mar,Boeing,767-200,Jet,2,135,156.08,no winglets,159.17,52.92,64.58,72.08,35.75,"315,000","317,000",2D,B762,tbd
246,650,8/1/1961,26/4/2017,617,22-Mar,Boeing,767-200ER,Jet,2,142,156.08,no winglets,159.17,52.92,64.58,72.08,35.75,"395,000","396,000",2D,B762,tbd
247,181,5/4/1990,28/6/2017,603,22-Mar,Boeing,767-300,Jet,2,140,156.08,no winglets,180.25,52.58,74.67,82.17,35.75,"350,000","352,000",2D,B763,Heavy Eqpt
248,1085,10/4/1975,18/1/2014,616,22-Mar,Boeing,767-300 Freighter,Jet,2,140,156.08,no winglets,180.25,52.92,74.67,82.17,35.75,"412,000","413,000",2D,B763,tbd
249,650,5/1/1968,24/2/2017,717,22-Mar,Boeing,767-300ER,Jet,2,145,156.08,no winglets,180.25,52.58,74.67,82.17,35.75,"412,000","413,000",2D,B763,tbd
250,482,9/2/1988,15/6/2012,528,22-Mar,Boeing,767-300ER with winglets,Jet,2,145,167,winglets,180.25,52.58,74.67,82.17,35.75,"412,000","413,000",2D,B763,tbd
251,870,4/19/1989,26/4/2012,725,22-Mar,Boeing,767-400ER,Jet,2,150,170.33,no winglets,201.33,55.83,85.83,93.33,36,"450,000","451,000",2D,B764,tbd
252,724,3/6/1965,31/8/2010,929,24-Jun,Boeing,777-200,Jet,2,136,199.92,no winglets,209.08,61.5,84.92,96.83,42.3,"535,000","537,000",3D,B772,tbd
253,273,10/25/1988,7/6/2011,771,24-Jun,Boeing,777-200 (HGW Option),Jet,2,136,199.92,no winglets,209.08,61.5,84.92,96.83,42.3,"632,500","634,500",3D,B772,tbd
254,866,6/5/1976,28/10/2010,956,30-Jun,Boeing,777-200ER,Jet,2,139,199.92,no winglets,209.08,61.5,84.92,96.83,42.3,tbd,"656,000",3D,B772,tbd
255,687,4/1/1971,15/2/2017,601,30-Jun,Boeing,777-200LR,Jet,2,140,212.58,no winglets,209.08,61.5,84.93,96.84,42.33,"766,000","768,000",3D,B772,tbd
256,409,11/24/1977,2/3/2014,675,24-Jun,Boeing,777-300,Jet,2,149,199.92,no winglets,242.33,61.5,102.42,114.33,42.3,"660,000","662,000",3D,B773,tbd
257,941,10/19/1969,24/5/2017,692,30-Jun,Boeing,777-300ER,Jet,2,149,212.58,no winglets,242.33,61.83,102.44,114.36,42.33,"775,000","777,000",3D,B773,tbd
258,890,12/19/1971,14/7/2013,665,30-Jun,Boeing,777-300F,Jet,2,140,212.58,no winglets,209.08,62.33,84.93,96.84,42.33,"766,800","768,800",3D,B773,tbd
259,559,2/11/1982,1/12/2010,892,1-Jul,Boeing,787-10 (Preliminary Data),Jet,2,140,197.25,no winglets,224.08,tbd,94.75,103.42,38.92,"560,000","561,500",2D,tbd,tbd
260,742,1/20/1972,21/7/2013,689,1-Jul,Boeing,787-8,Jet,2,140,197.25,no winglets,186.08,56.08,74.75,83.42,38.08,"502,500","503,500",2D,B788,tbd
261,227,10/19/1962,14/5/2010,987,1-Jul,Boeing,787-9,Jet,2,140,197.25,no winglets,206.08,56.08,84.75,93.42,38.92,"560,000","561,500",2D,B789,tbd
262,374,2/19/1972,27/4/2015,850,,Boeing,B-52,,,141,185,,,40.8,,,,"488,000",,,B52,tbd
263,958,10/29/1976,28/7/2014,917,,Boeing,C97 STRATOCRUISER,,,105,141.3,,,38.3,,,,"145,800",,,C97,tbd
264,1021,12/19/1979,8/8/2015,924,,Boeing,E-3,,,137,145.9,,,42,,,,"325,000",,,tbd,tbd
265,785,12/24/1970,24/8/2015,686,,Boeing,E-4,,,152,195.7,,,64.7,,,,"833,000",,,tbd,tbd
266,795,5/13/1971,6/10/2011,830,,Boeing (McDonnell Douglas),DC-10-10,,,138,155.3,,182.3,58.4,,,,"455,000",,,tbd,tbd
267,635,11/1/1968,13/4/2010,970,,Boeing (McDonnell Douglas),DC-10-10CF,,,,,,,,,,,,,,tbd,tbd
268,95,1/22/1964,3/6/2016,642,,Boeing (McDonnell Douglas),DC-10-30,,,149,165.3,,181.6,58.6,,,,"580,000",,,tbd,tbd
269,1030,12/31/1963,5/3/2015,918,,Boeing (McDonnell Douglas),DC-10-30CF,,,,,,,,,,,,,,tbd,tbd
270,208,7/15/1973,9/8/2010,600,,Boeing (McDonnell Douglas),DC-10-40,,,149,165.3,,182.2,58.6,,,,"572,000",,,tbd,tbd
271,756,7/4/1986,8/11/2016,571,,Boeing (McDonnell Douglas),DC-10-40CF,,,,,,,,,,,,,,tbd,tbd
272,861,4/21/1974,2/10/2015,752,,Boeing (McDonnell Douglas),DC-3,Piston,2,74,95,,64.3,23.5,,,,"25,200",,,DC3,Large Commuter Eqpt
273,956,11/9/1972,20/8/2011,634,,Boeing (McDonnell Douglas),DC-4,,,94,117.5,,93.9,27.9,,,,"73,000",,,tbd,tbd
274,1037,4/29/1967,25/5/2016,577,,Boeing (McDonnell Douglas),DC-6 Domestic,,,,,,,,,,,,,,tbd,tbd
275,496,1/17/1971,7/8/2012,859,,Boeing (McDonnell Douglas),DC-6A/B,,,108,117.5,,105.6,29.3,,,,"107,000",,,tbd,tbd
276,881,12/27/1978,1/2/2013,874,,Boeing (McDonnell Douglas),DC-7,,,,,,,,,,,,,,tbd,tbd
277,240,9/9/1973,18/3/2010,702,,Boeing (McDonnell Douglas),DC-7B,,,,,,,,,,,,,,tbd,tbd
278,373,4/13/1977,2/10/2013,508,,Boeing (McDonnell Douglas),DC-7C,,,110,127.5,,112.3,31.7,,,,"143,000",,,tbd,tbd
279,256,1/31/1970,17/10/2017,692,,Boeing (McDonnell Douglas),DC-8-10,,,131,142.4,,,43.3,,,,"276,000",,,tbd,tbd
280,799,4/11/1980,24/10/2014,839,,Boeing (McDonnell Douglas),DC-8-20/30/40,,,133,142.4,,,43.3,,,,"315,000",,,tbd,tbd
281,990,1/9/1963,4/12/2012,750,,Boeing (McDonnell Douglas),DC-8-40,,,133,142.4,,150.7,43.4,,,,"315,000",,,tbd,tbd
282,232,11/27/1970,6/7/2016,546,1-Jul,Boeing (McDonnell Douglas),DC-8-43,Jet,,133,142.4,no winglets,150.7,43.43,57.5,65.5,24.67,"315,000","318,000",2D,tbd,tbd
283,315,2/1/1984,17/3/2014,817,1-Jul,Boeing (McDonnell Douglas),DC-8-50,Jet,,137,142.4,no winglets,tbd,tbd,tbd,tbd,tbd,tbd,tbd,2D,tbd,tbd
284,773,12/29/1961,1/4/2015,555,1-Jul,Boeing (McDonnell Douglas),DC-8-50F,Jet,,144,142.4,no winglets,tbd,tbd,tbd,tbd,tbd,tbd,tbd,2D,tbd,tbd
285,843,8/7/1975,27/4/2014,863,,Boeing (McDonnell Douglas),DC-8-51,,,,,,,,,,,,,,tbd,tbd
286,594,5/12/1963,1/3/2010,530,,Boeing (McDonnell Douglas),DC-8-52,,,,,,,,,,,,,,tbd,tbd
287,1032,11/1/1972,3/12/2013,850,,Boeing (McDonnell Douglas),DC-8-53,,,,,,,,,,,,,,tbd,tbd
288,767,8/18/1968,26/11/2013,845,1-Jul,Boeing (McDonnell Douglas),DC-8-55,Jet,,137,142.4,no winglets,150.7,43.56,57.5,65.5,24.67,"325,000","328,000",2D,tbd,tbd
